                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.3108,                 1.1893,                 1.5825,                0.63996,                0.41371,                 0.4189,                0.20902,                 1.9383,                 1.6193,                 2.2817,             0.00016774,             0.00016774,             0.00016774
                     59,                 1.2965,                 1.1763,                 1.5666,                0.57192,                0.42909,                0.41403,                0.20033,                 1.9518,                 1.6372,                 2.3005,             0.00016393,             0.00016393,             0.00016393
                     60,                  1.293,                 1.1928,                 1.5682,                0.60607,                0.43818,                0.41796,                0.20522,                 1.9331,                 1.6356,                 2.3026,             0.00016012,             0.00016012,             0.00016012
                     61,                 1.2839,                 1.1628,                 1.5525,                 0.5633,                 0.4483,                0.40542,                 0.1962,                 1.9572,                 1.6616,                 2.3153,             0.00015631,             0.00015631,             0.00015631
                     62,                 1.2745,                 1.1595,                 1.5532,                0.66205,                0.39049,                0.42608,                0.20526,                 1.9524,                 1.6207,                 2.3056,              0.0001525,              0.0001525,              0.0001525
                     63,                 1.2715,                 1.1472,                 1.5451,                0.60848,                0.41208,                 0.4199,                0.20916,                 1.9513,                 1.6185,                 2.3044,             0.00014869,             0.00014869,             0.00014869
                     64,                 1.2587,                 1.1304,                 1.5353,                0.57988,                0.43631,                0.42393,                0.19982,                 1.9781,                  1.624,                 2.3529,             0.00014488,             0.00014488,             0.00014488
                     65,                  1.271,                 1.1397,                 1.5465,                0.53868,                0.43127,                0.40833,                0.20201,                  1.945,                 1.6199,                 2.3098,             0.00014106,             0.00014106,             0.00014106
                     66,                 1.2417,                 1.1229,                 1.5272,                0.61218,                0.42249,                0.41685,                 0.2031,                 1.9699,                 1.6424,                 2.3219,             0.00013725,             0.00013725,             0.00013725
                     67,                 1.2321,                 1.0935,                 1.5062,                 0.6114,                0.41112,                0.41256,                0.20086,                 1.9856,                 1.6393,                 2.3563,             0.00013344,             0.00013344,             0.00013344
                     68,                 1.2429,                 1.1091,                 1.5294,                0.54182,                0.47177,                0.44288,                0.21566,                 1.9669,                 1.5718,                 2.3312,             0.00012963,             0.00012963,             0.00012963
                     69,                 1.2261,                 1.0908,                 1.5102,                0.58665,                0.48056,                0.42664,                  0.209,                 1.9572,                 1.5816,                 2.3358,             0.00012582,             0.00012582,             0.00012582
                     70,                 1.2158,                 1.0745,                 1.5116,                0.65794,                0.41481,                0.43485,                0.21511,                 1.9409,                 1.5702,                 2.3177,             0.00012201,             0.00012201,             0.00012201
                     71,                 1.2019,                  1.068,                 1.4874,                0.63839,                0.41642,                 0.4336,                0.21409,                  1.952,                 1.5959,                   2.33,              0.0001182,              0.0001182,              0.0001182
                     72,                 1.2053,                 1.0709,                 1.4955,                0.64608,                0.40211,                0.43417,                0.21713,                 1.9526,                 1.5687,                 2.3239,             0.00011438,             0.00011438,             0.00011438
                     73,                 1.1922,                 1.0521,                 1.4821,                0.53601,                0.47165,                0.43633,                 0.2181,                 1.9509,                  1.565,                 2.3401,             0.00011057,             0.00011057,             0.00011057
                     74,                 1.1923,                 1.0379,                 1.4777,                0.64148,                0.39785,                0.43265,                0.21457,                 1.9608,                 1.5865,                 2.3478,             0.00010676,             0.00010676,             0.00010676
                     75,                 1.1773,                 1.0217,                 1.4703,                0.57823,                0.42753,                0.43468,                0.21947,                 1.9285,                  1.554,                 2.3079,             0.00010295,             0.00010295,             0.00010295
                     76,                 1.1782,                 1.0425,                 1.4732,                0.53006,                0.46023,                0.43429,                0.21405,                 1.9378,                 1.5862,                 2.3273,             9.9137e-05,             9.9137e-05,             9.9137e-05
