                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2167,                  1.097,                 1.7489,                0.89611,                0.86916,                0.90816,                0.54591,                 1.3608,                0.96863,                 2.2143,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.2035,                 1.0814,                 1.7492,                0.90637,                0.85945,                0.88262,                0.53737,                 1.3622,                0.95394,                 2.2544,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2177,                 1.0896,                 1.7628,                0.93041,                0.81219,                0.90024,                0.57913,                 1.2564,                0.98247,                 2.1544,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.207,                 1.1168,                 1.7601,                0.94278,                0.84695,                0.91391,                0.57577,                 1.2925,                0.92316,                 2.2098,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1979,                 1.0911,                 1.7492,                0.89535,                0.85514,                0.90391,                0.57474,                 1.3302,                0.96352,                 2.1686,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1589,                 1.0633,                 1.7279,                0.90786,                0.87485,                0.91124,                  0.569,                 1.2912,                0.92453,                 2.1442,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1838,                 1.0487,                 1.7365,                0.91694,                0.87693,                0.90744,                 0.5829,                 1.2598,                0.89291,                 2.1157,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1674,                 1.0763,                 1.7303,                0.92541,                0.84112,                0.89855,                0.56949,                 1.2984,                0.91315,                  2.172,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1557,                 1.0969,                 1.7199,                0.91487,                0.85376,                0.88968,                0.58117,                 1.2435,                0.91503,                 2.1464,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1354,                 1.0374,                 1.7134,                0.93908,                0.86446,                0.90394,                0.55656,                 1.3155,                0.91193,                 2.1936,              0.0006768,              0.0006768,              0.0006768
                     62,                   1.15,                 1.0537,                 1.7158,                0.88226,                0.84112,                  0.902,                  0.584,                 1.2146,                0.87711,                  2.065,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1375,                 1.0309,                 1.7007,                0.85016,                0.85981,                0.89351,                0.58872,                 1.2309,                 0.8816,                 2.0729,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1033,                0.99297,                 1.6612,                0.90142,                0.88318,                0.90085,                0.55862,                 1.2854,                0.87384,                  2.158,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1346,                 1.0456,                 1.7071,                0.91092,                0.85981,                0.89909,                0.57291,                 1.2722,                0.90905,                 2.1604,             0.00061079,             0.00061079,             0.00061079
                     66,                  1.134,                 1.0083,                  1.692,                0.91352,                0.86449,                0.89966,                 0.5677,                  1.284,                0.86551,                  2.241,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1275,                 1.0181,                 1.6825,                 0.9176,                0.81776,                0.88939,                0.56563,                 1.2693,                 0.8728,                 2.1648,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1225,                 1.0474,                 1.6895,                0.89065,                0.86916,                 0.9106,                0.58581,                 1.2457,                0.87538,                 2.0857,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0961,                0.98515,                 1.6514,                0.95929,                0.88085,                0.92362,                 0.6078,                 1.2064,                0.79111,                 2.0606,             0.00054478,             0.00054478,             0.00054478
                     70,                  1.086,                0.98567,                 1.6546,                0.93898,                0.86295,                0.89856,                0.59312,                 1.2225,                0.80837,                 2.1112,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0938,                0.96972,                 1.6489,                0.93162,                0.89136,                0.92176,                0.62388,                 1.1877,                0.79263,                 2.0465,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0915,                0.96319,                 1.6586,                0.87559,                0.88793,                0.91947,                0.60405,                 1.2188,                0.79113,                  2.106,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0839,                 1.0123,                 1.6626,                0.93857,                 0.8567,                0.91331,                0.60234,                 1.1982,                0.83962,                 2.0399,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0942,                0.99282,                 1.6694,                0.93095,                0.88196,                0.92409,                0.62116,                 1.2057,                0.76988,                 2.0607,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0963,                0.99306,                 1.6635,                0.91179,                0.86916,                0.91076,                0.59506,                  1.222,                0.78257,                 2.1214,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0454,                0.94538,                 1.6213,                  0.955,                0.89254,                0.91517,                 0.6153,                 1.1737,                0.76175,                 2.0333,             0.00042925,             0.00042925,             0.00042925
                     77,                  1.054,                0.95655,                 1.6322,                0.92886,                0.85415,                0.89246,                0.59624,                 1.2067,                0.83259,                 2.1013,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0532,                0.96216,                  1.633,                0.92507,                 0.8972,                0.91619,                0.61232,                 1.2053,                0.79812,                 2.0284,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0697,                0.94586,                 1.6437,                0.89523,                0.87839,                0.90473,                0.61025,                 1.1837,                0.75867,                 2.0294,             0.00037974,             0.00037974,             0.00037974
                     80,                  1.052,                0.92881,                 1.6315,                0.95235,                0.87383,                0.91524,                0.62229,                 1.1518,                0.73595,                  2.026,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.0757,                0.92171,                 1.6388,                0.94467,                0.87763,                0.91674,                0.62767,                 1.1901,                0.81026,                 2.0671,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0329,                 0.9005,                  1.609,                0.94368,                0.87383,                0.91822,                0.64462,                 1.1552,                0.76139,                 2.0234,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0182,                0.89689,                 1.6144,                0.93028,                0.87289,                0.90848,                0.61227,                 1.1714,                0.76704,                 2.0141,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0538,                0.90455,                 1.6254,                0.93083,                0.86449,                0.91278,                0.62837,                 1.1187,                0.75871,                 1.9771,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.0385,                0.92405,                 1.6131,                0.93354,                 0.8972,                0.92195,                0.61908,                 1.1689,                0.75053,                 2.0461,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.0078,                0.90197,                  1.602,                0.94308,                0.85173,                0.91913,                0.62689,                 1.1825,                0.75457,                 2.0383,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.0015,                0.87584,                 1.6019,                0.89546,                0.89252,                0.92058,                0.63291,                 1.1707,                0.73115,                 2.0259,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.0116,                0.86047,                 1.5976,                0.88887,                0.89704,                0.91034,                0.63026,                  1.144,                0.73176,                 1.9917,             0.00023121,             0.00023121,             0.00023121
                     89,                0.99483,                0.88761,                 1.5935,                0.96648,                0.85514,                0.91995,                0.63805,                 1.1276,                0.75111,                 1.9688,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.0134,                0.91118,                 1.5985,                0.94904,                0.86449,                0.91883,                 0.6399,                 1.1087,                0.73034,                 1.9573,             0.00019821,             0.00019821,             0.00019821
                     91,                0.89118,                0.81299,                 1.7027,                 0.9389,                0.85514,                0.91447,                0.62726,                 1.1368,                0.74758,                 2.0105,              0.0001817,              0.0001817,              0.0001817
                     92,                0.85894,                0.70206,                 1.6554,                0.97367,                0.86392,                0.92039,                0.63208,                  1.168,                0.75925,                 2.0411,              0.0001652,              0.0001652,              0.0001652
                     93,                0.86968,                0.67109,                 1.6677,                0.96314,                0.85482,                0.91785,                0.64093,                 1.1235,                0.75625,                 1.9909,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.8349,                0.66613,                  1.654,                0.93987,                0.87646,                0.92129,                0.64688,                 1.0961,                0.72385,                 1.9652,             0.00013219,             0.00013219,             0.00013219
                     95,                0.82193,                0.65192,                 1.6338,                0.91012,                0.89906,                0.92444,                0.65904,                 1.0727,                0.69761,                 1.9324,             0.00011569,             0.00011569,             0.00011569
                     96,                0.82138,                0.65166,                 1.6145,                 0.9517,                0.85981,                0.92337,                0.65524,                 1.0777,                0.71039,                 1.9349,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.81561,                0.64399,                 1.6133,                0.92375,                0.88318,                0.92008,                0.65484,                 1.0784,                0.70335,                 1.9538,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.79701,                0.62996,                 1.6034,                0.93553,                0.88151,                0.92519,                0.65564,                 1.0751,                0.68032,                 1.9441,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.78586,                0.64057,                 1.5766,                0.94377,                0.88785,                 0.9282,                0.66281,                 1.0642,                0.68887,                 1.9186,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.8031,                0.61898,                 1.5944,                0.94468,                0.88785,                0.92885,                0.66096,                 1.0606,                0.68609,                 1.9092,             3.3173e-05,             3.3173e-05,             3.3173e-05
